GeneID	EnsemblGeneID	Symbol	Description	Synonyms	Maestro score	FDR	Evidence	Tissues
55735	ENSG00000007923	DNAJC11	"DnaJ (Hsp40) homolog, subfamily C, member 11"	"dJ126A5.1, Q9NVH1"	20	0%	"GFP, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
29103	ENSG00000120675	DNAJC15	"DnaJ (Hsp40) homolog, subfamily C, member 15"	"DNAJD1, HSD18, MCJ, Q9Y5T4"	14	0%	"GFP, mito protein domain, induction, coexpression, MS/MS+"	"cerebrum, spinalcord, liver, adipose, smallintestine, largeintestine, placenta, testis"
131118	ENSG00000205981	DNAJC19	"DnaJ (Hsp40) homolog, subfamily C, member 19"	"PAM18, TIM14, TIMM14, Q96DA6"	7	2%	"literature, APEX_matrix, mito protein domain, MS/MS++"	all 14
54943	ENSG00000177692	DNAJC28	"DnaJ (Hsp40) homolog, subfamily C, member 28"	"C21orf55, C21orf78, Q9NX36"	8	2%	"Rickettsial homolog, mito protein domain, coexpression+"	stomach
84277	ENSG00000176410	DNAJC30	"DnaJ (Hsp40) homolog, subfamily C, member 30"	"WBSCR18, Q96LL9"	9	1%	"APEX_matrix, GFP, targetP signal+, Rickettsial homolog, mito protein domain, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, heart, skeletalmuscle, adipose, largeintestine, stomach"
3338	ENSG00000110011	DNAJC4	"DnaJ (Hsp40) homolog, subfamily C, member 4"	"DANJC4, HSPF2, MCG18, Q9NNZ3"	10	1%	"GFP, targetP signal+, Rickettsial homolog, mito protein domain, coexpression"	largeintestine
728489	ENSG00000187796	DNLZ	DNL-type zinc finger	"C9orf151, HEP, HEP1, TIMM15, ZIM17, bA413M3.2, Q5SXM8"	18	0%	"APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS"	"cerebrum, cerebellum, brainstem, heart, adipose, smallintestine, largeintestine, stomach, placenta"
10059	ENSG00000087470	DNM1L	dynamin 1-like	"DLP1, DRP1, DVLP, DYMPLE, EMPF, HDYNIV, O00429"	7	2%	"literature, yeast mito homolog+, mito protein domain, induction"	"cerebrum, cerebellum, brainstem, spinalcord"
1841	ENSG00000168393	DTYMK	deoxythymidylate kinase (thymidylate kinase)	"CDC8, PP3731, TMPK, TYMK, P23919"	7	2%	"Rickettsial homolog, MS/MS+"	"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
54920	ENSG00000167264	DUS2	dihydrouridine synthase 2	"DUS2L, SMM1, URLC8, Q9NX74"	-3	57%	"GFP, Rickettsial homolog, mito protein domain"	none
78986	ENSG00000133878	DUSP26	dual specificity phosphatase 26 (putative)	"DUSP24, LDP-4, MKP8, NATA1, SKRP3, Q9BV47"	0	42%	"GFP, targetP signal, mito protein domain"	none
1854	ENSG00000128951	DUT	deoxyuridine triphosphatase	"dUTPase, P33316"	9	1%	"literature, targetP signal, Rickettsial homolog, MS/MS++"	"cerebrum, spinalcord, liver, heart, adipose, largeintestine, stomach, placenta"
124454	ENSG00000103356	EARS2	"glutamyl-tRNA synthetase 2, mitochondrial"	"COXPD12, MSE1, Q5JPH6"	16	0%	"literature, APEX_matrix, GFP, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression"	"adipose, largeintestine, placenta"
1891	ENSG00000104823	ECH1	"enoyl CoA hydratase 1, peroxisomal"	"HPXEL, Q13011"	25	0%	"APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression+, MS/MS++"	all 14
55862	ENSG00000093144	ECHDC1	enoyl CoA hydratase domain containing 1	"HEL-S-76, MMCD, dJ351K20.2, Q9NTX5"	16	0%	"yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	"brainstem, spinalcord, liver, adipose, largeintestine, placenta, testis"
55268	ENSG00000121310	ECHDC2	enoyl CoA hydratase domain containing 2	Q86YB7	24	0%	"targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
79746	ENSG00000134463	ECHDC3	enoyl CoA hydratase domain containing 3	Q96DC8	31	0%	"targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	"spinalcord, kidney, liver, heart, adipose, largeintestine, stomach, placenta, testis"
1892	ENSG00000127884	ECHS1	"enoyl CoA hydratase, short chain, 1, mitochondrial"	"SCEH, P30084"	33	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
1632	ENSG00000167969	ECI1	enoyl-CoA delta isomerase 1	"DCI, P42126"	16	0%	"literature, APEX_matrix, targetP signal, mito protein domain, coexpression+, MS/MS++"	all 14
10455	ENSG00000198721	ECI2	enoyl-CoA delta isomerase 2	"ACBD2, DRS-1, DRS1, HCA88, PECI, dJ1013A10.3, O75521"	19	0%	"literature, APEX_matrix, targetP signal+, mito protein domain, coexpression+, MS/MS++"	all 14
51295	ENSG00000130159	ECSIT	ECSIT signalling integrator	"SITPEC, Q9BQ95"	10	1%	"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression+"	"brainstem, spinalcord, kidney, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
60678	ENSG00000132394	EEFSEC	"eukaryotic elongation factor, selenocysteine-tRNA-specific"	"EFSEC, SELB, P57772"	5	4%	"yeast mito homolog+, Rickettsial homolog, mito protein domain"	none
80303	ENSG00000115468	EFHD1	"EF-hand domain family, member D1"	"MST133, MSTP133, SWS2, Q9BUP0"	-2	51%	"literature, mito protein domain, induction"	none
1962	ENSG00000113790	EHHADH	"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase"	"ECHD, FRTS3, L-PBE, LBFP, LBP, PBFE, Q08426"	18	0%	"yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	"spinalcord, kidney, liver, adipose, smallintestine, largeintestine, placenta"
60528	ENSG00000006744	ELAC2	elaC ribonuclease Z 2	"COXPD17, ELC2, HPC2, Q9BQ52"	11	0%	"APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito protein domain, MS/MS"	"cerebellum, skeletalmuscle, adipose, largeintestine, stomach"
9694	ENSG00000104412	EMC2	ER membrane protein complex subunit 2	"KIAA0103, TTC35, Q15006"	-2	51%	"GFP, mito protein domain, induction"	none
2021	ENSG00000167136	ENDOG	endonuclease G	Q14249	15	0%	"literature, APEX_IMS, mito protein domain, coexpression++, MS/MS"	all 14
2053	ENSG00000120915	EPHX2	"epoxide hydrolase 2, cytoplasmic"	"CEH, SEH, P34913"	5	4%	"Rickettsial homolog, mito protein domain, coexpression"	"kidney, liver, heart, skeletalmuscle, adipose, smallintestine, stomach"
26284	ENSG00000132591	ERAL1	Era-like 12S mitochondrial rRNA chaperone 1	"ERA, ERAL1A, H-ERA, HERA-A, HERA-B, O75616"	25	0%	"APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++"	none
2108	ENSG00000140374	ETFA	"electron-transfer-flavoprotein, alpha polypeptide"	"EMA, GA2, MADD, P13804"	33	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	all 14
2109	ENSG00000105379	ETFB	"electron-transfer-flavoprotein, beta polypeptide"	"MADD, P38117"	22	0%	"literature, APEX_matrix, yeast mito homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
2110	ENSG00000171503	ETFDH	electron-transferring-flavoprotein dehydrogenase	"ETFQO, MADD, Q16134"	34	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
23474	ENSG00000105755	ETHE1	ethylmalonic encephalopathy 1	"HSCO, YF13H12, O95571"	22	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, induction, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta"
9941	ENSG00000157036	EXOG	"endo/exonuclease (5'-3'), endonuclease G-like"	"ENDOGL1, ENDOGL2, ENGL, ENGL-a, ENGL-b, ENGLA, ENGLB, Q9Y2C4"	11	0%	"APEX_IMS, targetP signal, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, adipose, largeintestine, placenta"
2168	ENSG00000163586	FABP1	"fatty acid binding protein 1, liver"	"FABPL, L-FABP, P07148"	5	4%	"mito protein domain, MS/MS++"	"liver, smallintestine"
81889	ENSG00000180185	FAHD1	fumarylacetoacetate hydrolase domain containing 1	"C16orf36, YISKL, Q6P587"	12	0%	"literature, APEX_matrix, mito protein domain, coexpression, MS/MS++"	all 14
51011	ENSG00000115042	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	Q96GK7	20	0%	"APEX_matrix, targetP signal, mito protein domain, induction, coexpression, MS/MS++"	all 14
84908	ENSG00000035141	FAM136A	"family with sequence similarity 136, member A"	Q96C01	10	0%	"APEX_IMS, mito protein domain+, MS/MS++"	all 14
26355	ENSG00000114023	FAM162A	"family with sequence similarity 162, member A"	"C3orf28, E2IG5, HGTD-P, Q96A26"	12	0%	"APEX_IMS, APEX_matrix, targetP signal, induction, coexpression, MS/MS++"	all 14
222234	ENSG00000222011	FAM185A	"family with sequence similarity 185, member A"	Q8N0U4	0	34%	"APEX_matrix, targetP signal, coexpression"	none
84331	ENSG00000172366	FAM195A	"family with sequence similarity 195, member A"	"C16orf14, c349E10.1, Q9BUT9"	5	4%	"induction, coexpression+"	none
125228	ENSG00000177150	FAM210A	"family with sequence similarity 210, member A"	"C18orf19, HsT2329, Q96ND0"	18	0%	"GFP, targetP signal, induction, coexpression++, MS/MS"	all 14
116151	ENSG00000124098	FAM210B	"family with sequence similarity 210, member B"	"5A3, C20orf108, dJ1167H4.1, Q96KR6"	7	2%	"targetP signal, yeast mito homolog, coexpression, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
84293	ENSG00000122378	FAM213A	"family with sequence similarity 213, member A"	"C10orf58, PAMM, Q9BRX8"	2	15%	"GFP, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, placenta, testis"
10667	ENSG00000145982	FARS2	"phenylalanyl-tRNA synthetase 2, mitochondrial"	"COXPD14, FARS1, HSPC320, PheRS, dJ520B18.2, O95363"	23	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	"adipose, largeintestine, stomach, placenta, testis"
2194	ENSG00000169710	FASN	fatty acid synthase	"FAS, OA-519, SDR27X1, P49327"	7	2%	"Rickettsial homolog, mito protein domain, coexpression"	"cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, smallintestine, stomach, placenta, testis"
10922	ENSG00000164896	FASTK	Fas-activated serine/threonine kinase	"FAST, Q14296"	1	22%	"GFP, induction, coexpression"	none
79675	ENSG00000138399	FASTKD1	FAST kinase domains 1	Q53R41	12	0%	"APEX_matrix, induction, coexpression++"	"liver, largeintestine"
22868	ENSG00000118246	FASTKD2	FAST kinase domains 2	"KIAA0971, Q9NYY8"	5	4%	"literature, APEX_matrix, induction, coexpression, MS/MS"	"skeletalmuscle, adipose, smallintestine, largeintestine, placenta, testis"
79072	ENSG00000124279	FASTKD3	FAST kinase domains 3	Q14CZ7	-4	70%	"APEX_matrix, targetP signal"	none
60493	ENSG00000215251	FASTKD5	FAST kinase domains 5	"dJ1187M17.5, Q7L8L6"	1	21%	"APEX_matrix, targetP signal, coexpression"	"skeletalmuscle, largeintestine, placenta"
26235	ENSG00000112234	FBXL4	F-box and leucine-rich repeat protein 4	"FBL4, FBL5, MTDPS13, Q9UKA2"	2	14%	"literature, mito protein domain, coexpression"	adipose
2224	ENSG00000160752	FDPS	farnesyl diphosphate synthase	"FPPS, FPS, P14324"	6	3%	"targetP signal, mito protein domain, MS/MS+"	"liver, adipose, smallintestine, largeintestine, placenta"
2230	ENSG00000137714	FDX1	ferredoxin 1	"ADX, FDX, LOH11CR1D, P10109"	26	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS+"	all 14
112812	ENSG00000267673	FDX1L	ferredoxin 1-like	"FDX2, Q6P4F2"	18	0%	"APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis"
2232	ENSG00000161513	FDXR	ferredoxin reductase	"ADXR, P22570"	23	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, coexpression, MS/MS++"	"spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
2235	ENSG00000066926	FECH	ferrochelatase	"EPP, FCE, P22830"	30	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
2271	ENSG00000091483	FH	fumarate hydratase	"HLRCC, LRCC, MCL, MCUL1, P07954"	35	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
2272	ENSG00000189283	FHIT	fragile histidine triad	"AP3Aase, FRA3B, P49789"	14	0%	"yeast mito homolog, Rickettsial homolog, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
51024	ENSG00000214253	FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	"TTC11, Q9Y3D6"	11	0%	"literature, yeast mito homolog++, mito protein domain+"	all 14
60681	ENSG00000141756	FKBP10	"FK506 binding protein 10, 65 kDa"	"FKBP65, OI11, OI6, PPIASE, hFKBP65, Q96AY3"	-5	73%	"APEX_IMS, mito protein domain"	none
23770	ENSG00000105701	FKBP8	"FK506 binding protein 8, 38kDa"	"FKBP38, FKBPr38, Q14318"	3	10%	"literature, mito protein domain, coexpression, MS/MS"	"cerebrum, brainstem, spinalcord, largeintestine, placenta, testis"
80308	ENSG00000160688	FLAD1	flavin adenine dinucleotide synthetase 1	"FAD1, FADS, RP11-307C12.7, Q8NFF5"	10	0%	"APEX_matrix, targetP signal, mito protein domain, induction, coexpression"	"spinalcord, adipose, stomach"
55572	ENSG00000110074	FOXRED1	FAD-dependent oxidoreductase domain containing 1	"H17, Q96CU9"	3	10%	"literature, mito protein domain, coexpression+"	"adipose, largeintestine, placenta, testis"
2356	ENSG00000136877	FPGS	folylpolyglutamate synthase	Q05932	8	2%	"APEX_matrix, GFP, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain"	none
2495	ENSG00000167996	FTH1	"ferritin, heavy polypeptide 1"	"FHC, FTH, FTHL6, HFE5, PIG15, PLIF, P02794"	6	3%	"mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, liver, adipose, smallintestine, largeintestine, stomach, placenta"
94033	ENSG00000181867	FTMT	ferritin mitochondrial	"MTF, Q8N4E7"	6	3%	"literature, targetP signal+, mito protein domain, MS/MS"	testis
29960	ENSG00000122687	FTSJ2	FtsJ RNA methyltransferase homolog 2 (E. coli)	"FJH1, HEL97, MRM2, Q9UI43"	4	7%	"literature, Rickettsial homolog, mito protein domain, coexpression"	cerebrum
139341	ENSG00000069509	FUNDC1	FUN14 domain containing 1	Q8IVP5	7	2%	"yeast mito homolog, mito protein domain+, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, skeletalmuscle, adipose, largeintestine, stomach, testis"
65991	ENSG00000165775	FUNDC2	FUN14 domain containing 2	"DC44, HCBP6, HCC3, PD03104, Q9BWH2"	13	0%	"mito protein domain+, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis"
2395	ENSG00000165060	FXN	frataxin	"CyaY, FA, FARR, FRDA, X25, Q16595"	25	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	all 14
90480	ENSG00000179271	GADD45GIP1	"growth arrest and DNA-damage-inducible, gamma interacting protein 1"	"CKBBP2, CKbetaBP2, CRIF1, MRP-L59, PLINP, PLINP-1, PRG6, Plinp1, Q8TAE8"	14	0%	"APEX_matrix, GFP, targetP signal, coexpression+, MS/MS++"	all 14
2597	ENSG00000111640	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	"G3PD, GAPD, HEL-S-162eP, P04406"	5	4%	"targetP signal, yeast mito homolog, Rickettsial homolog"	all 14
2617	ENSG00000106105	GARS	glycyl-tRNA synthetase	"CMT2D, DSMAV, GlyRS, HMN5, SMAD1, P41250"	9	1%	"targetP signal, yeast mito homolog, mito protein domain, induction"	"cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
283459	ENSG00000111786	GATC	"glutamyl-tRNA(Gln) amidotransferase, subunit C"	"15E1.2, O43716"	23	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS"	"cerebrum, cerebellum, spinalcord, kidney, largeintestine, testis"
2628	ENSG00000171766	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	"AGAT, AT, CCDS3, P50440"	16	0%	"literature, targetP signal, mito protein domain+, MS/MS++"	"spinalcord, kidney, liver, stomach, placenta, testis"
2631	ENSG00000146729	GBAS	glioblastoma amplified sequence	"NIPSNAP2, O75323"	18	0%	"literature, APEX_matrix, targetP signal+, induction, coexpression, MS/MS++"	all 14
23464	ENSG00000100116	GCAT	glycine C-acetyltransferase	"KBL, O75600"	19	0%	"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++"	"brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
2639	ENSG00000105607	GCDH	glutaryl-CoA dehydrogenase	"ACAD5, GCD, Q92947"	21	0%	"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++"	all 14
2653	ENSG00000140905	GCSH	glycine cleavage system protein H (aminomethyl carrier)	"GCE, NKH, P23434"	12	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, MS/MS"	"spinalcord, liver, adipose, smallintestine, largeintestine, placenta, testis"
54332	ENSG00000104381	GDAP1	ganglioside induced differentiation associated protein 1	"CMT4, CMT4A, CMTRIA, Q8TB36"	6	3%	"APEX_IMS, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord"
2671	ENSG00000127554	GFER	"growth factor, augmenter of liver regeneration"	"ALR, ERV1, HERV1, HPO, HPO1, HPO2, HSS, P55789"	13	0%	"literature, GFP, yeast mito homolog++, mito protein domain, coexpression, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
85476	ENSG00000168827	GFM1	"G elongation factor, mitochondrial 1"	"COXPD1, EFG, EFG1, EFGM, EGF1, GFM, hEFG1, Q96RP9"	37	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
84340	ENSG00000164347	GFM2	"G elongation factor, mitochondrial 2"	"EF-G2mt, EFG2, MRRF2, MST027, RRF2, RRF2mt, hEFG2, mEF-G 2, Q969S9"	27	0%	"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++"	all 14
27069	ENSG00000165678	GHITM	growth hormone inducible transmembrane protein	"DERP2, HSPC282, MICS1, PTD010, TMBIM5, Q9H3K2"	29	0%	"literature, APEX_IMS, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS"	all 14
2710	ENSG00000198814	GK	glycerol kinase	"GK1, GKD, P32189"	18	0%	"literature, yeast mito homolog+, mito protein domain, induction, coexpression, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, adipose, smallintestine, testis"
2731	ENSG00000178445	GLDC	glycine dehydrogenase (decarboxylating)	"GCE, GCSP, HYGN1, P23378"	20	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, coexpression, MS/MS++"	"cerebrum, cerebellum, kidney, liver, adipose, placenta"
51031	ENSG00000167699	GLOD4	glyoxalase domain containing 4	"C17orf25, HC71, Q9HC38"	14	0%	"APEX_matrix, targetP signal+, coexpression, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
51022	ENSG00000023572	GLRX2	glutaredoxin 2	"CGI-133, GRX2, Q9NS18"	17	0%	"literature, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain, coexpression, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, skeletalmuscle, largeintestine, placenta, testis"
51218	ENSG00000182512	GLRX5	glutaredoxin 5	"C14orf87, FLB4739, GRX5, PR01238, PRO1238, Q86SX6"	16	0%	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	all 14
2744	ENSG00000115419	GLS	glutaminase	"AAD20, GAC, GAM, GLS1, KGA, O94925"	20	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
27165	ENSG00000135423	GLS2	"glutaminase 2 (liver, mitochondrial)"	"GA, GLS, LGA, hLGA, Q9UI32"	13	0%	"targetP signal, mito protein domain+, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, smallintestine, largeintestine"
2746	ENSG00000148672	GLUD1	glutamate dehydrogenase 1	"GDH, GDH1, GLUD, P00367"	14	0%	"literature, APEX_matrix, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
10249	ENSG00000149124	GLYAT	glycine-N-acyltransferase	"ACGNAT, CAT, GAT, Q6IB77"	6	3%	"literature, mito protein domain, coexpression, MS/MS+"	"spinalcord, kidney, liver, placenta"
132158	ENSG00000168237	GLYCTK	glycerate kinase	"HBEBP2, HBEBP4, HBeAgBP4A, Q8IVS8"	11	0%	"targetP signal+, coexpression, MS/MS+"	"kidney, liver, placenta"
2787	ENSG00000174021	GNG5	"guanine nucleotide binding protein (G protein), gamma 5"	P63218	-1	45%	"GFP, MS/MS"	"adipose, placenta, testis"
64083	ENSG00000113384	GOLPH3	golgi phosphoprotein 3 (coat-protein)	"GOPP1, GPP34, MIDAS, Q9H4A6"	-4	70%	"literature, induction"	none
2806	ENSG00000125166	GOT2	"glutamic-oxaloacetic transaminase 2, mitochondrial"	"KAT4, KATIV, mitAAT, P00505"	8	2%	"literature, APEX_IMS, APEX_matrix, targetP signal, mito protein domain, MS/MS++"	all 14
57678	ENSG00000119927	GPAM	"glycerol-3-phosphate acyltransferase, mitochondrial"	"GPAT, GPAT1, Q9HCL2"	2	15%	"literature, mito protein domain, coexpression"	"cerebellum, spinalcord, kidney, liver, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis"
2820	ENSG00000115159	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	"GDH2, GPDM, mGPDH, P43304"	21	0%	"literature, APEX_IMS, yeast mito homolog++, mito protein domain, coexpression, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
2821	ENSG00000105220	GPI	glucose-6-phosphate isomerase	"AMF, GNPI, NLK, PGI, PHI, SA-36, SA36, P06744"	10	0%	"yeast mito homolog++, induction, coexpression"	"cerebrum, cerebellum, brainstem, spinalcord, skeletalmuscle, adipose, smallintestine, stomach, placenta, testis"
84706	ENSG00000166123	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2	"ALT2, Q8TD30"	12	0%	"APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, MS/MS++"	"cerebrum, brainstem, liver, skeletalmuscle, adipose, stomach, placenta, testis"
2876	ENSG00000233276	GPX1	glutathione peroxidase 1	"GPXD, GSHPX1, P07203"	11	0%	"literature, APEX_matrix, targetP signal, mito protein domain, coexpression, MS/MS+"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
2879	ENSG00000167468	GPX4	glutathione peroxidase 4	"GPx-4, GSHPx-4, MCSP, PHGPx, snGPx, snPHGPx, P36969"	-1	43%	"literature, mito protein domain"	all 14
9380	ENSG00000137106	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	"GLXR, GLYD, PH2, Q9UBQ7"	16	0%	"APEX_matrix, targetP signal, yeast mito homolog, mito protein domain, coexpression, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis"
80273	ENSG00000109519	GRPEL1	"GrpE-like 1, mitochondrial (E. coli)"	"HMGE, Q9HAV7"	37	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
134266	ENSG00000164284	GRPEL2	"GrpE-like 2, mitochondrial (E. coli)"	"Mt-GrpE#2, Q8TAA5"	13	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+"	placenta
2926	ENSG00000132463	GRSF1	G-rich RNA sequence binding factor 1	Q12849	9	1%	"APEX_matrix, mito protein domain, induction, coexpression, MS/MS"	"adipose, smallintestine, largeintestine, stomach, placenta, testis"
2936	ENSG00000104687	GSR	glutathione reductase	"HEL-75, P00390"	15	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, MS/MS++"	"spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
373156	ENSG00000197448	GSTK1	glutathione S-transferase kappa 1	"GST, GST 13-13, GST13, GST13-13, GSTK1-1, hGSTK1, Q9Y2Q3"	17	0%	"literature, mito protein domain+, coexpression+, MS/MS++"	all 14
9446	ENSG00000148834	GSTO1	glutathione S-transferase omega 1	"GSTO 1-1, GSTTLp28, HEL-S-21, P28, SPG-R, P78417"	8	2%	"Rickettsial homolog, mito protein domain, induction"	"smallintestine, stomach, placenta"
2954	ENSG00000100577	GSTZ1	glutathione S-transferase zeta 1	"GSTZ1-1, MAAI, MAI, O43708"	14	0%	"APEX_matrix, mito protein domain, coexpression, MS/MS++"	all 14
85865	ENSG00000105793	GTPBP10	GTP-binding protein 10 (putative)	"ObgH2, A4D1E9"	6	3%	"APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain"	"largeintestine, placenta"
84705	ENSG00000130299	GTPBP3	GTP binding protein 3 (mitochondrial)	"GTPBG3, MSS1, MTGP1, THDF1, Q969Y2"	13	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain"	largeintestine
8225	ENSG00000178605	GTPBP6	GTP binding protein 6 (putative)	"PGPL, O43824"	4	8%	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain"	none
